Ep-From,Pg-From,Ep-To,Pg-To,Time,
1 ,1 ,1 ,2 ,0.85 ,
1 ,2 ,1 ,3 ,0.85 ,
1 ,3 ,1 ,4 ,0.85 ,
1 ,4 ,1 ,5 ,0.85 ,
1 ,5 ,1 ,6 ,0.85 ,
1 ,5 ,1 ,7 ,1.05 ,
1 ,6 ,1 ,7 ,0.85 ,
1 ,7 ,1 ,8 ,0.85 ,
1 ,8 ,1 ,9 ,0.85 ,
1 ,8 ,1 ,10 ,1.05 ,
1 ,9 ,1 ,10 ,0.85 ,
1 ,10 ,1 ,11 ,0.85 ,
1 ,11 ,1 ,12 ,0.85 ,
1 ,11 ,1 ,13 ,1.05 ,
1 ,12 ,1 ,13 ,0.85 ,
1 ,13 ,1 ,14 ,0.85 ,
1 ,14 ,1 ,15 ,0.85 ,
1 ,14 ,1 ,16 ,1.05 ,
1 ,15 ,1 ,16 ,0.85 ,
1 ,16 ,1 ,17 ,0.85 ,
1 ,17 ,1 ,18 ,0.85 ,
1 ,18 ,2 ,1 ,0.85 ,
2 ,1 ,2 ,2 ,0.85 ,
2 ,2 ,2 ,3 ,0.85 ,
2 ,3 ,2 ,4 ,0.85 ,
2 ,4 ,2 ,5 ,0.85 ,
2 ,5 ,2 ,6 ,0.85 ,
2 ,5 ,2 ,7 ,1.05 ,
2 ,6 ,2 ,7 ,0.85 ,
2 ,7 ,2 ,8 ,0.85 ,
2 ,8 ,2 ,9 ,0.85 ,
2 ,9 ,2 ,10 ,0.85 ,
2 ,10 ,2 ,11 ,0.85 ,
2 ,10 ,2 ,12 ,1.05 ,
2 ,10 ,2 ,13 ,1.25 ,
2 ,11 ,2 ,12 ,0.85 ,
2 ,11 ,2 ,13 ,1.05 ,
2 ,12 ,2 ,13 ,0.85 ,
2 ,13 ,2 ,14 ,0.85 ,
2 ,14 ,2 ,15 ,0.85 ,
2 ,14 ,2 ,16 ,1.05 ,
2 ,14 ,2 ,17 ,1.25 ,
2 ,15 ,2 ,16 ,0.85 ,
2 ,15 ,2 ,17 ,1.05 ,
2 ,16 ,2 ,17 ,0.85 ,
2 ,17 ,2 ,18 ,0.85 ,
2 ,18 ,3 ,1 ,0.85 ,
2 ,18 ,3 ,2 ,1.05 ,
2 ,18 ,3 ,3 ,1.25 ,
2 ,18 ,3 ,4 ,1.40 ,
3 ,1 ,3 ,2 ,0.85 ,
3 ,1 ,3 ,3 ,1.05 ,
3 ,1 ,3 ,4 ,1.25 ,
3 ,2 ,3 ,3 ,0.85 ,
3 ,2 ,3 ,4 ,1.05 ,
3 ,3 ,3 ,4 ,0.85 ,
3 ,4 ,3 ,5 ,0.85 ,
3 ,5 ,3 ,6 ,0.85 ,
3 ,5 ,3 ,7 ,1.05 ,
3 ,5 ,3 ,8 ,1.25 ,
3 ,5 ,3 ,9 ,1.40 ,
3 ,6 ,3 ,7 ,0.85 ,
3 ,6 ,3 ,8 ,1.05 ,
3 ,6 ,3 ,9 ,1.25 ,
3 ,7 ,3 ,8 ,0.85 ,
3 ,7 ,3 ,9 ,1.05 ,
3 ,8 ,3 ,9 ,0.85 ,
3 ,9 ,3 ,10 ,0.85 ,
3 ,9 ,3 ,11 ,1.05 ,
3 ,9 ,3 ,12 ,1.25 ,
3 ,9 ,3 ,13 ,1.40 ,
3 ,10 ,3 ,11 ,0.85 ,
3 ,10 ,3 ,12 ,1.05 ,
3 ,10 ,3 ,13 ,1.25 ,
3 ,11 ,3 ,12 ,0.85 ,
3 ,11 ,3 ,13 ,1.05 ,
3 ,12 ,3 ,13 ,0.85 ,
3 ,13 ,3 ,14 ,0.85 ,
3 ,13 ,3 ,15 ,1.05 ,
3 ,13 ,3 ,16 ,1.25 ,
3 ,13 ,3 ,17 ,1.40 ,
3 ,13 ,3 ,18 ,1.55 ,
3 ,14 ,3 ,15 ,0.85 ,
3 ,14 ,3 ,16 ,1.05 ,
3 ,14 ,3 ,17 ,1.25 ,
3 ,14 ,3 ,18 ,1.40 ,
3 ,15 ,3 ,16 ,0.85 ,
3 ,15 ,3 ,17 ,1.05 ,
3 ,15 ,3 ,18 ,1.25 ,
3 ,16 ,3 ,17 ,0.85 ,
3 ,16 ,3 ,18 ,1.05 ,
3 ,17 ,3 ,18 ,0.85 ,
3 ,18 ,3 ,19 ,0.85 ,
3 ,18 ,3 ,20 ,1.05 ,
3 ,18 ,3 ,21 ,1.25 ,
3 ,19 ,3 ,20 ,0.85 ,
3 ,19 ,3 ,21 ,1.05 ,
3 ,20 ,3 ,21 ,0.85 ,
3 ,21 ,3 ,22 ,0.85 ,
3 ,21 ,3 ,23 ,1.05 ,
3 ,21 ,3 ,24 ,1.25 ,
3 ,22 ,3 ,23 ,0.85 ,
3 ,22 ,3 ,24 ,1.05 ,
3 ,23 ,3 ,24 ,0.85 ,
3 ,24 ,3 ,25 ,0.85 ,
3 ,24 ,3 ,26 ,1.05 ,
3 ,24 ,3 ,27 ,1.25 ,
3 ,25 ,3 ,26 ,0.85 ,
3 ,25 ,3 ,27 ,1.05 ,
3 ,26 ,3 ,27 ,0.85 ,
3 ,27 ,3 ,28 ,0.85 ,
